time,methane_concentration,light_intensity,absorption_peak,relativity,pcb_temperature,laser_temperature,tec_current,laser_housing_temperature,SNR,status,ver,err_code,flight_status,longitude,latitude,altitude,relative_altitude,home_distance,speed,dis_code,distance,dest_longitude,dest_latitude,uav_pitch,uav_roll,uav_yaw,gimbal_pitch,gimbal_roll,gimbal_yaw,camera_focal_length,camera_zoom,file_name
2026-03-10_00:56:04:168,0,38,763,989,32,24,167,26,7,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.0,-75.6988421,45.3857670,-1.3,-1.7,-8.8,-0.8,-2.0,-5.9,8,8,
2026-03-10_00:56:04:268,0,37,763,989,32,24,161,26,0,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.0,-75.6988421,45.3857670,-1.5,-2.2,-8.9,-0.8,-2.1,-5.9,8,8,
2026-03-10_00:56:04:368,0,36,763,994,32,24,151,26,5,0,19,0,2,-75.6987832,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.0,-75.6988411,45.3857671,-1.2,-2.5,-8.9,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:04:468,0,36,763,994,32,24,151,26,5,0,19,0,2,-75.6987832,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.0,-75.6988421,45.3857670,-0.7,-2.3,-8.9,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:04:568,0,36,763,990,32,24,152,26,3,0,19,0,2,-75.6987832,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.0,-75.6988422,45.3857671,-0.5,-1.8,-8.9,-0.6,-2.0,-5.9,8,8,
2026-03-10_00:56:04:668,0,37,763,992,32,24,169,26,1,0,19,0,2,-75.6987832,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.0,-75.6988422,45.3857671,-0.5,-1.3,-8.9,-0.6,-2.0,-5.9,8,8,
2026-03-10_00:56:04:768,0,36,763,991,32,24,164,26,8,0,19,0,2,-75.6987832,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.7,-75.6988431,45.3857733,-0.8,-1.6,-8.9,-0.6,-2.1,-5.9,8,8,
2026-03-10_00:56:04:868,0,36,763,989,32,24,151,26,0,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.7,-75.6988420,45.3857734,-1.4,-2.2,-8.8,-0.8,-2.0,-5.8,8,8,
2026-03-10_00:56:04:968,0,37,763,992,32,24,151,26,2,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.7,-75.6988430,45.3857733,-1.7,-2.7,-8.9,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:05:069,0,37,763,989,32,24,151,26,5,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.7,-75.6988429,45.3857733,-1.7,-2.6,-8.9,-0.8,-2.1,-5.9,8,8,
2026-03-10_00:56:05:169,0,40,763,989,32,24,166,26,0,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.7,-75.6988420,45.3857734,-1.3,-2.2,-8.8,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:05:269,0,40,763,989,32,24,166,26,0,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.7,-75.6988430,45.3857733,-0.9,-1.9,-8.5,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:05:369,0,44,763,992,32,24,160,26,7,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.7,-75.6988430,45.3857733,-0.7,-1.9,-8.2,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:05:469,0,49,763,993,32,24,148,26,1,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.7,-75.6988430,45.3857733,-1.0,-2.2,-8.1,-0.8,-2.1,-5.9,8,8,
2026-03-10_00:56:05:669,53,59,763,995,32,24,166,26,0,0,19,0,2,-75.6987831,45.3853645,  32.4,   0.9,0.2, 0.0,0,46.0,-75.6988433,45.3857759,-2.0,-2.5,-8.1,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:05:769,112,61,763,993,32,24,164,26,1,0,19,0,2,-75.6987831,45.3853645,  32.4,   0.9,0.2, 0.0,0,46.0,-75.6988433,45.3857760,-1.4,-2.3,-8.3,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:05:869,185,60,763,993,32,24,154,26,2,0,19,0,2,-75.6987831,45.3853645,  32.4,   0.9,0.2, 0.0,0,46.0,-75.6988434,45.3857760,-0.7,-2.3,-8.3,-0.6,-2.1,-5.9,8,8,
2026-03-10_00:56:05:969,19,55,763,994,32,24,148,26,0,0,19,0,2,-75.6987831,45.3853645,  32.4,   0.9,0.2, 0.0,0,46.0,-75.6988434,45.3857760,-0.5,-2.1,-8.0,-0.6,-2.2,-5.9,8,8,
2026-03-10_00:56:06:069,19,55,763,994,32,24,148,26,0,0,19,0,2,-75.6987832,45.3853646,  32.4,   0.9,0.2, 0.0,0,46.0,-75.6988435,45.3857760,-0.7,-1.9,-7.9,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:06:169,56,54,763,993,32,24,154,26,2,0,19,0,2,-75.6987831,45.3853645,  32.4,   0.9,0.1, 0.0,0,46.0,-75.6988423,45.3857760,-1.1,-1.9,-7.9,-0.7,-2.0,-5.8,8,8,20260310_005606.jpg
2026-03-10_00:56:06:269,0,24,763,981,32,24,163,26,0,0,19,0,2,-75.6987832,45.3853646,  32.4,   0.9,0.1, 0.1,0,46.0,-75.6988435,45.3857761,-1.5,-1.8,-7.9,-0.7,-2.1,-5.9,8,8,
